cliente;documento;encontrado;base_nome;base_status
"EDIFICIO PARC EXCLUSIF PERDIZES";"25.144.200/0001-49";"SIM";"CONDOMINIO EDIFICIO PARC EXCLUSIF PERDIZES (INTRÓITO)";"ativo"
"VERDANA SUITES JARDIM PRUDENCIA SETOR MORADIA TORRE 3";"57.897.276/0004-84";"NAO";"";""
"CONDOMINIO NEW SIDE";"41.502.011/0001-57";"NAO";"";""
"CONDOMINIO SUIT SAO BERNARDO";"29.205.467/0001-50";"SIM";"CONDOMÍNIO SUIT SÃO BERNARDO";"ativo"
"HAUS MITRE RESERVA VILA MARIANA SETOR RESIDENCIAL";"61.675.871/0002-80";"NAO";"";""
"CONDOMINIO VILA DO ROSIO";"00.605.464/0001-21";"NAO";"";""
"CONDOMINIO EDIFICIO CAROLINE MAHAL";"05.032.159/0001-01";"SIM";"CONDOMÍNIO CAROLINE MAHAL";"ativo"
"CONDOMINIO RESIDENCIAL MAIS ESTILO E DESIGN MORUMBI";"19.436.901/0001-59";"SIM";"CONDOMÍNIO RESIDENCIAL MAIS ESTILO & DESIGN MORUMBI";"ativo"
"CONDOMINIO LAS VENTANAS";"22.246.106/0001-02";"SIM";"CONDOMÍNIO LAS VENTANAS";"ativo"
"CONDOMINIO VILLA NATURA";"07.964.226/0001-51";"NAO";"";""
"CONDOMINIO HARMONIA 1040 SETOR RESIDENCIAL 2 LOFTS";"52.389.637/0003-87";"NAO";"";""
"ELO DUO CAMINHOS DA LAPA TORRE B SETOR RESIDENCIAL 3";"54.405.702/0003-46";"SIM";"CONDOMINIO Elo & Elo Duo Caminhos da Lapa - Setor 2 - Residencial (Torre A - Elo Caminhos da Lapa);";"ativo"
"CONDOMINIO RESERVA BUTANTA";"18.777.394/0001-54";"NAO";"";""
"CONDOMINIO VIVAZ ESTACAO VILA PRUDENTE";"54.589.086/0001-69";"SIM";"COND. VIVAZ ESTAÇÃO VILA PRUDENTE";"ativo"
"CONDOMINIO MODULO SAUDE";"50.725.158/0001-96";"NAO";"";""
"CONDOMINIO SQUARE GUARULHOS";"14.234.598/0001-98";"SIM";"CONDOMÍNIO SQUARE GUARULHOS";"ativo"
"VERDANA JARDIM PRUDENCIA SETOR RESIDENCIAL";"57.897.276/0001-31";"NAO";"";""
"CONDOMINIO SQUARE GARDEN CAMPO BELO RESIDENCIAL";"52.151.457/0002-81";"SIM";"CONDOMÍNIO SQUARE GARDEN CAMPO BELO - RESIDENCIAL";"ativo"
"OLIVA VILA MASCOTE";"24.206.902/0001-47";"NAO";"";""
"CONDOMINIO VILLA DORIA";"05.382.774/0001-48";"SIM";"CONDOMÍNIO VILLA DORIA";"ativo"
"CONDOMINIO HARMONIA MORUMBI RESIDENCE";"29.910.260/0001-86";"SIM";"HARMONIA MORUMBI RESIDENCE";"ativo"
"CONDOMINIO VILLA LOBOS OFFICE PARK";"13.190.286/0001-67";"SIM";"CONDOMÍNIO VILLA LOBOS OFFICE PARK";"ativo"
"CONDOMINIO OFFICE VILLA EUROPA";"00.906.970/0001-50";"NAO";"";""
"CONDOMINIO EXTENSION BERRINI";"55.211.616/0001-01";"NAO";"";""
"CONDOMINIO GARDEN CLUB BARRA FUNDA";"13.018.928/0001-45";"SIM";"CONDOMÍNIO GARDEN CLUB BARRA FUNDA";"ativo"
"CONDOMINIO IL FARO";"47.288.221/0001-70";"SIM";"CONDOMÍNIO IL FARO";"ativo"
"CONDOMINIO JARDIM SUL GALLERY";"20.456.882/0001-01";"NAO";"";""
"CONDOMINIO PROJECT HOME";"04.763.468/0001-99";"SIM";"CONDOMÍNIO PROJECT HOME";"ativo"
"CONDOMINIO SQUARE GARDEN CAMPO BELO STUDIOS";"52.151.457/0003-62";"NAO";"";""
"CONDOMINIO GRUTA DAS LAGOSTAS";"50.322.098/0001-71";"SIM";"CONDOMINIO GRUTA DAS LAGOSTAS";"ativo"
"CONDOMINIO DESIGN 101";"44.066.095/0001-11";"SIM";"CONDOMÍNIO DESIGN 101";"ativo"
"ELO CAMINHOS DA LAPA TORRE A SETOR RESIDENCIAL 2";"54.405.702/0002-65";"NAO";"";""
"CONDOMINIO CYRELA IBIRAPUERA BY YOO MEDPLEX";"49.109.007/0003-05";"SIM";"CONDOMÍNIO CYRELA IBIRAPUERA BY YOO - MEDPLEX";"ativo"
"CONDOMINIO VIEW BUTANTA";"51.776.364/0001-07";"SIM";"CONDOMINIO VIEW BUTANTÃ";"ativo"
"CONDOMINIO VILA DAS CORES";"08.258.385/0001-01";"SIM";"CONDOMÍNIO VILA DAS CORES";"ativo"
"HI VIEW ALTO DA BOA VISTA SETOR W STYLE RESIDENCIAL";"63.744.144/0003-34";"NAO";"";""
"CONDOMINIO PANAMBY PENTHOUSES";"24.977.773/0001-90";"NAO";"";""
"CONDOMINIO HARMONIA 1040 ESCRITORIOS";"52.389.637/0004-68";"SIM";"CONDOMINIO HARMONIA 1040 - ESCRITÓRIOS";"ativo"
"CONDOMINIO MOEMA FLAT SERVICE";"04.632.843/0001-61";"SIM";"EDIFÍCIO MOEMA FLAT SERVICE";"ativo"
"CONDOMINIO HARMONIA 1040 LOJAS";"52.389.637/0005-49";"SIM";"CONDOMINIO HARMONIA 1040 - LOJAS";"ativo"
"ESTILO GRANJA VIANA";"24.169.107/0001-26";"SIM";"ESTILO GRANJA VIANA CONDOMÍNIO";"ativo"
"CONDOMINIO RAIZES DA MATA";"08.422.331/0001-21";"SIM";"CONDOMÍNIO RAIZES DA MATA";"ativo"
"HELVETIA GRAND QUARTIER GARTEN HAUS CONDOMINIUM";"12.418.783/0001-07";"SIM";"HELVETIA GRAND QUARTIER – GARTEN HAUS CONDOMINIUM";"ativo"
"CONDOMINIO MAISON IPIRANGA";"60.943.001/0001-00";"NAO";"";""
"CONDOMINIO EDIFICIO ILIADA";"53.829.495/0001-22";"NAO";"";""
"CONDOMINIO KEY MOEMA";"42.331.105/0001-73";"SIM";"CONDOMÍNIO KEY MOEMA";"ativo"
"CONDOMINIO RESIDENCIAL FORLIFE TULIPAS CLUBE";"42.459.034/0001-99";"SIM";"CONDOMÍNIO RESIDENCIAL FORLIFE TULIPAS CLUBE";"ativo"
"CONDOMINIO MANOR I4 SETOR PEDRO";"47.379.614/0001-90";"NAO";"";""
"MARA JANE DE CASTRO PEDROZO";"076.371.188-30";"NAO";"";""
"CONDOMINIO RESIDENCIAL FINE";"14.556.697/0001-96";"SIM";"CONDOMÍNIO RESIDENCIAL FINE";"ativo"
"PRIVATE BELA VISTA";"37.983.337/0001-76";"NAO";"";""
"CONDOMINIO EDIFICIO YOHANNES BRAHMS";"54.960.836/0001-67";"NAO";"";""
"CONDOMINIO DAS TULIPAS";"26.342.721/0001-73";"SIM";"CONDOMÍNIO DAS TULIPAS";"ativo"
"CONDOMINIO BREKA MOEMA";"54.561.752/0001-50";"NAO";"";""
"CONDOMINIO XPRESS TUCURUVI";"53.156.448/0001-65";"SIM";"CONDOMINIO XPRESS TUCURUVI";"ativo"
"REGIS FABIANO MOCHIATE";"322.750.188-08";"NAO";"";""
"SUBCONDOMINIO EDIFICIO OFFICE TAMBORE";"11.772.599/0001-06";"SIM";"SUBCONDOMINIO EDIFICIO OFFICE TAMBORE";"ativo"
